observation_date,PCECC96
1980-01-01,4534.348
1980-04-01,4432.231
1980-07-01,4480.849
1980-10-01,4541.390
1981-01-01,4556.603
1981-04-01,4556.934
1981-07-01,4578.013
1981-10-01,4546.699
1982-01-01,4580.190
1982-04-01,4594.142
1982-07-01,4624.939
1982-10-01,4705.953
1983-01-01,4752.481
1983-04-01,4849.254
1983-07-01,4936.211
1983-10-01,5014.874
1984-01-01,5056.492
1984-04-01,5127.332
1984-07-01,5165.357
1984-10-01,5232.266
1985-01-01,5321.159
1985-04-01,5370.011
1985-07-01,5472.014
1985-10-01,5483.866
1986-01-01,5531.807
1986-04-01,5592.080
1986-07-01,5690.971
1986-10-01,5725.812
1987-01-01,5731.226
1987-04-01,5809.376
1987-07-01,5875.641
1987-10-01,5888.065
1988-01-01,5992.101
1988-04-01,6036.355
1988-07-01,6090.001
1988-10-01,6159.246
1989-01-01,6187.816
1989-04-01,6216.695
1989-07-01,6276.877
1989-10-01,6304.157
1990-01-01,6357.213
1990-04-01,6376.579
1990-07-01,6401.841
1990-10-01,6353.139
1991-01-01,6329.249
1991-04-01,6381.703
1991-07-01,6413.521
1991-10-01,6410.312
1992-01-01,6530.335
1992-04-01,6574.665
1992-07-01,6645.140
1992-10-01,6724.342
1993-01-01,6750.123
1993-04-01,6811.522
1993-07-01,6887.329
1993-10-01,6947.788
1994-01-01,7027.255
1994-04-01,7081.931
1994-07-01,7135.930
1994-10-01,7213.079
1995-01-01,7231.032
1995-04-01,7294.424
1995-07-01,7360.529
1995-10-01,7411.873
1996-01-01,7480.231
1996-04-01,7560.702
1996-07-01,7606.475
1996-10-01,7667.062
1997-01-01,7747.880
1997-04-01,7782.760
1997-07-01,7915.359
1997-10-01,8009.964
1998-01-01,8090.987
1998-04-01,8233.463
1998-07-01,8340.831
1998-10-01,8461.330
1999-01-01,8548.235
1999-04-01,8679.143
1999-07-01,8776.715
1999-10-01,8905.093
2000-01-01,9039.743
2000-04-01,9124.152
2000-07-01,9211.569
2000-10-01,9292.050
2001-01-01,9325.751
2001-04-01,9344.486
2001-07-01,9377.003
2001-10-01,9528.302
2002-01-01,9549.516
2002-04-01,9597.820
2002-07-01,9664.988
2002-10-01,9718.745
2003-01-01,9766.616
2003-04-01,9878.442
2003-07-01,10018.122
2003-10-01,10087.092
2004-01-01,10181.141
2004-04-01,10236.694
2004-07-01,10356.936
2004-10-01,10474.084
2005-01-01,10540.638
2005-04-01,10657.449
2005-07-01,10745.873
2005-10-01,10765.680
2006-01-01,10883.075
2006-04-01,10939.498
2006-07-01,11009.748
2006-10-01,11114.771
2007-01-01,11183.323
2007-04-01,11212.669
2007-07-01,11287.468
2007-10-01,11331.949
2008-01-01,11316.411
2008-04-01,11347.595
2008-07-01,11260.136
2008-10-01,11158.801
2009-01-01,11130.464
2009-04-01,11075.748
2009-07-01,11150.230
2009-10-01,11137.946
2010-01-01,11202.495
2010-04-01,11302.955
2010-07-01,11383.596
2010-10-01,11453.368
2011-01-01,11497.120
2011-04-01,11508.950
2011-07-01,11543.975
2011-10-01,11563.890
2012-01-01,11647.297
2012-04-01,11667.753
2012-07-01,11691.414
2012-10-01,11738.007
2013-01-01,11814.326
2013-04-01,11848.089
2013-07-01,11896.258
2013-10-01,12001.027
2014-01-01,12044.203
2014-04-01,12159.899
2014-07-01,12280.086
2014-10-01,12421.595
2015-01-01,12516.902
2015-04-01,12603.053
2015-07-01,12691.790
2015-10-01,12743.411
2016-01-01,12839.618
2016-04-01,12903.306
2016-07-01,12993.064
2016-10-01,13060.061
2017-01-01,13160.475
2017-04-01,13225.743
2017-07-01,13315.382
2017-10-01,13460.902
2018-01-01,13558.373
2018-04-01,13630.967
2018-07-01,13693.790
2018-10-01,13736.572
2019-01-01,13758.331
2019-04-01,13875.705
2019-07-01,14033.222
2019-10-01,14125.274
2020-01-01,13887.048
2020-04-01,12685.319
2020-07-01,13813.706
2020-10-01,14001.366
2021-01-01,14319.617
2021-04-01,14820.014
2021-07-01,14943.244
2021-10-01,15086.862
2022-01-01,15100.850
2022-04-01,15224.357
2022-07-01,15295.828
2022-10-01,15326.248
2023-01-01,15495.754
2023-04-01,15553.719
2023-07-01,15671.906
2023-10-01,15789.717
2024-01-01,15857.704
2024-04-01,16009.637
2024-07-01,16165.768
2024-10-01,16320.890
2025-01-01,16345.793
2025-04-01,16445.685
2025-07-01,16585.878
2025-10-01,16665.219
